Hardware version,2.2
Software version,Nov 18 2021 19:49:38
Serial number,10005
Owner name,
Owner phone,
Configuration selected,1
X_1_g (24g),1359
Hx_1_g (80g),262
X_0_g (24g),0
Hx_0_g (80g),0
Y_0_g (24g),0
Z_0_g (24g),0
Hacc present,1
SecondEngineDelayTrigger [s],0
MainParachuteTriggerHeight [m],200
LaunchpadHeight [m],2
Drogue parachute failure detection [m/s],50
TemperatureOffset1 [deg],0
Pressure coefficient #1,44330.77
Pressure coefficient #2,0.1902632
Pressure at sea level [Pa],101325
Samples per second,100

seconds,X_acc,Y_acc,Z_acc,HX_acc,Pressure,Kalman pressure,temp,Vaxis,AltitudeFromPressure,Altitude,State,VelocityP,ParachuteFailureSenseCnt
394.41,1536,96,-144,256,99593,99602,3.4,0.0,0.0,0.0,1,0.0,0
394.42,1488,80,-144,256,99575,99601,3.4,0.0,0.0,0.0,1,0.0,0
394.43,1536,32,-176,256,99596,99601,3.4,0.0,0.0,0.0,1,0.0,0
394.44,1472,48,-160,256,99606,99601,3.7,0.0,0.0,0.0,1,0.0,0
394.45,1536,112,-176,256,99596,99600,3.7,0.0,0.0,0.0,1,0.0,0
394.46,1552,48,-176,256,99590,99600,3.7,0.0,0.0,0.0,1,0.0,0
394.47,1504,48,-192,256,99604,99600,3.7,0.0,0.0,0.0,1,0.0,0
394.48,1504,112,-160,256,99624,99601,3.7,0.0,0.0,0.0,1,0.0,0
394.49,1456,16,-192,256,99598,99601,3.4,0.0,0.0,0.0,1,0.0,0
394.50,1520,48,-176,256,99602,99601,3.4,0.0,0.0,0.0,1,0.0,0
394.51,1504,80,-176,256,99593,99600,3.7,0.0,0.0,0.0,1,0.0,0
394.52,1520,112,-176,256,99574,99599,3.4,0.0,0.0,0.0,1,0.0,0
394.53,1472,64,-176,256,99591,99598,3.7,0.0,0.0,0.0,1,0.0,0
394.54,1456,48,-144,256,99607,99599,3.4,0.0,0.0,0.0,1,0.0,0
394.55,1472,80,-192,256,99599,99598,3.7,0.0,0.0,0.0,1,0.0,0
394.56,1456,96,-224,256,99595,99598,3.4,0.0,0.0,0.0,1,0.0,0
394.57,1504,80,-208,256,99581,99597,3.4,0.0,0.0,0.0,1,0.0,0
394.58,1520,80,-192,256,99602,99597,3.4,0.0,0.0,0.0,1,0.0,0
394.59,1488,64,-192,256,99588,99597,3.7,0.0,0.0,0.0,1,0.0,0
394.60,1472,48,-176,256,99586,99596,3.7,0.0,0.0,0.0,1,0.0,0
394.61,1504,96,-160,256,99608,99596,3.4,0.0,0.0,0.0,1,0.0,0
394.62,1568,64,-160,256,99601,99596,3.7,0.0,0.0,0.0,1,0.0,0
394.63,1520,112,-192,256,99596,99596,3.7,0.0,0.0,0.0,1,0.0,0
394.64,1488,64,-160,256,99621,99597,3.7,0.0,0.0,0.0,1,0.0,0
394.65,1488,112,-192,256,99584,99596,3.4,0.0,0.0,0.0,1,0.0,0
394.66,1488,80,-112,256,99632,99598,3.7,0.0,0.0,0.0,1,0.0,0
394.67,1504,96,-176,256,99611,99598,3.7,0.0,0.0,0.0,1,0.0,0
394.68,1472,80,-176,256,99598,99598,3.4,0.0,0.0,0.0,1,0.0,0
394.69,1504,80,-128,256,99615,99599,3.7,0.0,0.0,0.0,1,0.0,0
394.70,1488,96,-192,256,99579,99598,3.7,0.0,0.0,0.0,1,0.0,0
394.71,1456,64,-144,256,99621,99599,3.7,0.0,0.0,0.0,1,0.0,0
394.72,1488,96,-176,256,99587,99598,3.7,0.0,0.0,0.0,1,0.0,0
394.73,1472,112,-160,256,99593,99598,3.7,0.0,0.0,0.0,1,0.0,0
394.74,1488,32,-160,256,99592,99598,3.4,0.0,0.0,0.0,1,0.0,0
394.75,1520,96,-192,256,99576,99597,3.7,0.0,0.0,0.0,1,0.0,0
394.76,1504,80,-208,256,99628,99598,3.7,0.0,0.0,0.0,1,0.0,0
394.77,1504,80,-192,256,99617,99598,3.7,0.0,0.0,0.0,1,0.0,0
394.78,1488,96,-160,256,99567,99597,3.7,0.0,0.0,0.0,1,0.0,0
394.79,1520,0,-144,256,99603,99597,3.4,0.0,0.0,0.0,1,0.0,0
394.80,1488,80,-208,256,99568,99596,3.7,0.0,0.0,0.0,1,0.0,0
394.81,1504,64,-160,256,99602,99596,3.7,0.0,0.0,0.0,1,0.0,0
394.82,1536,80,-160,256,99612,99597,3.7,0.0,0.0,0.0,1,0.0,0
394.83,1520,64,-176,256,99606,99597,3.7,0.0,0.0,0.0,1,0.0,0
394.84,1472,48,-192,256,99604,99597,3.4,0.0,0.0,0.0,1,0.0,0
394.85,1472,64,-192,256,99615,99598,3.7,0.0,0.0,0.0,1,0.0,0
394.86,1504,96,-208,256,99576,99597,3.7,0.0,0.0,0.0,1,0.0,0
394.87,1536,96,-144,256,99604,99597,3.4,0.0,0.0,0.0,1,0.0,0
394.88,1536,48,-208,256,99583,99596,3.7,0.0,0.0,0.0,1,0.0,0
394.89,1488,80,-176,256,99598,99596,3.4,0.0,0.0,0.0,1,0.0,0
394.90,1488,96,-176,256,99599,99596,3.4,0.0,0.0,0.0,1,0.0,0
394.91,1504,64,-192,256,99598,99596,3.4,0.0,0.0,0.0,1,0.0,0
394.92,1488,96,-160,256,99603,99597,3.7,0.0,0.0,0.0,1,0.0,0
394.93,1504,96,-176,256,99590,99596,3.4,0.0,0.0,0.0,1,0.0,0
394.94,1488,80,-192,256,99590,99596,3.7,0.0,0.0,0.0,1,0.0,0
394.95,1488,64,-144,256,99605,99596,3.7,0.0,0.0,0.0,1,0.0,0
394.96,1488,96,-192,256,99588,99596,3.4,0.0,0.0,0.0,1,0.0,0
394.97,1472,112,-176,256,99601,99596,3.4,0.0,0.0,0.0,1,0.0,0
394.98,1472,32,-128,256,99569,99595,3.4,0.0,0.0,0.0,1,0.0,0
394.99,1520,112,-176,256,99597,99594,3.4,0.0,0.0,0.0,1,0.0,0
395.00,1504,32,-192,256,99580,99594,3.4,0.0,0.0,0.0,1,0.0,0
395.01,1456,64,-160,256,99587,99593,3.4,0.0,0.0,0.0,1,0.0,0
395.02,1520,80,-160,256,99613,99594,3.7,0.0,0.0,0.0,1,0.0,0
395.03,1488,96,-192,256,99605,99594,3.7,0.0,0.0,0.0,1,0.0,0
395.04,1504,96,-192,256,99604,99595,3.7,0.0,0.0,0.0,1,0.0,0
395.05,1472,64,-144,256,99602,99595,3.4,0.0,0.0,0.0,1,0.0,0
395.06,1504,96,-176,256,99613,99595,3.7,0.0,0.0,0.0,1,0.0,0
395.07,1504,64,-128,256,99609,99596,3.7,0.0,0.0,0.0,1,0.0,0
395.08,1488,96,-192,256,99620,99597,3.7,0.0,0.0,0.0,1,0.0,0
395.09,1472,80,-160,256,99594,99597,3.7,0.0,0.0,0.0,1,0.0,0
395.10,1472,96,-128,256,99603,99597,3.7,0.0,0.0,0.0,1,0.0,0
395.11,1536,96,-192,256,99595,99597,3.7,0.0,0.0,0.0,1,0.0,0
395.12,1488,64,-160,256,99615,99598,3.7,0.0,0.0,0.0,1,0.0,0
395.13,1504,80,-160,256,99610,99598,3.7,0.0,0.0,0.0,1,0.0,0
395.14,1488,64,-192,256,99596,99598,3.7,0.0,0.0,0.0,1,0.0,0
395.15,1488,96,-176,256,99637,99600,3.4,0.0,0.0,0.0,1,0.0,0
395.16,1472,96,-192,256,99612,99601,3.4,0.0,0.0,0.0,1,0.0,0
395.17,1488,64,-160,256,99611,99601,3.7,0.0,0.0,0.0,1,0.0,0
395.18,1952,256,-192,256,99617,99602,3.9,0.0,0.0,0.0,1,0.0,0
395.19,2304,-480,-272,448,99612,99603,3.4,0.1,0.0,0.0,1,0.0,0
395.20,3104,-64,-496,576,99590,99602,3.9,0.2,0.0,0.0,1,0.0,0
395.21,3648,-528,0,640,99592,99602,3.7,0.4,0.0,0.0,1,0.0,0
395.22,3312,-400,-112,640,99593,99602,3.4,0.5,0.0,0.0,1,0.0,0
395.23,3936,-144,-192,704,99597,99602,3.7,0.7,0.0,0.0,1,0.0,0
395.24,4048,-144,-288,768,99608,99602,3.4,0.9,0.0,0.0,1,0.0,0
395.25,3856,-32,-304,768,99604,99602,3.4,1.1,0.0,0.0,1,0.0,0
395.26,4160,192,-416,768,99609,99603,3.4,1.3,0.0,0.0,1,0.0,0
395.27,4096,-80,-304,768,99606,99603,3.7,1.5,0.0,0.0,1,0.0,0
395.28,3936,256,320,768,99586,99602,3.4,1.7,0.0,0.0,1,0.0,0
395.30,4096,224,-224,768,99612,99603,3.7,2.1,0.0,0.1,1,0.0,0
395.31,4368,-16,-144,768,99606,99604,3.7,2.3,0.0,0.1,1,0.0,0
395.32,4544,-32,-272,768,99571,99602,3.7,2.5,0.0,0.1,1,0.0,0
395.33,4288,96,-192,832,99594,99602,3.7,2.7,0.0,0.1,1,0.0,0
395.34,4416,-592,192,832,99600,99602,3.4,2.9,0.0,0.2,1,0.0,0
395.35,4496,64,-176,832,99613,99603,3.7,3.2,0.0,0.2,1,0.0,0
395.36,4208,256,-304,832,99583,99602,3.7,3.4,0.0,0.2,1,0.0,0
395.37,4384,32,-192,832,99581,99601,3.7,3.6,0.0,0.3,1,0.0,0
395.38,4464,416,-320,832,99594,99601,3.4,3.8,0.0,0.3,1,0.0,0
395.39,3920,320,-608,768,99609,99601,3.4,4.0,0.0,0.4,1,0.0,0
395.40,3872,160,-192,704,99586,99600,3.4,4.2,0.0,0.4,1,3.9,0
395.41,3904,-512,-208,704,99598,99600,3.4,4.4,0.0,0.4,1,0.8,0
395.42,3808,-96,-320,704,99604,99600,3.7,4.6,0.0,0.5,1,-0.7,0
395.43,4464,-528,-512,768,99605,99601,3.7,4.8,0.0,0.5,1,-0.9,0
395.44,4624,-112,-608,832,99573,99599,3.4,5.0,0.1,0.6,1,7.1,0
395.45,4576,-16,384,832,99610,99600,3.4,5.3,0.0,0.6,1,-2.4,0
395.46,4688,176,-96,896,99583,99599,3.7,5.5,0.1,0.7,1,4.5,0
395.47,4736,48,-768,896,99579,99598,3.4,5.7,0.1,0.7,1,5.3,0
395.48,4640,-32,-336,896,99587,99598,3.7,6.0,0.2,0.8,1,3.1,0
395.49,4976,-160,-496,896,99589,99597,3.7,6.2,0.2,0.9,1,2.5,0
395.50,5056,352,-160,896,99593,99597,3.7,6.5,0.2,0.9,1,1.5,0
395.51,4736,48,-192,896,99583,99596,3.7,6.8,0.2,1.0,1,3.9,0
395.52,4976,304,-272,896,99607,99596,3.4,7.0,0.2,1.1,1,-2.2,0
395.53,5200,-480,128,896,99600,99596,3.7,7.3,0.2,1.1,1,-0.3,0
395.54,5056,-160,272,896,99601,99596,3.7,7.6,0.2,1.2,1,-0.6,0
395.55,4928,16,-224,896,99574,99595,3.4,7.8,0.3,1.3,1,6.2,0
395.56,4880,656,-224,896,99592,99595,3.7,8.1,0.3,1.4,1,1.4,0
395.57,5072,368,-160,896,99595,99595,3.7,8.3,0.3,1.4,1,0.6,0
395.58,5024,-240,-192,960,99581,99594,3.7,8.6,0.3,1.5,1,4.2,0
395.59,5424,-432,-352,960,99582,99593,3.4,8.9,0.4,1.6,1,3.8,0
395.60,5632,-272,0,1024,99580,99592,3.4,9.2,0.4,1.7,1,4.2,0
395.61,5200,-336,512,1024,99587,99592,3.7,9.5,0.4,1.8,1,2.3,0
395.62,5200,-192,-16,1024,99571,99591,3.7,9.8,0.5,1.9,1,6.3,0
395.63,5616,512,-336,1024,99564,99589,3.7,10.1,0.6,2.0,2,7.8,0
395.64,5616,-512,64,1024,99571,99588,3.7,10.4,0.6,2.1,2,5.8,0
395.65,5472,48,-1072,1024,99584,99588,3.4,10.7,0.7,2.2,2,2.4,0
