T [s];X_acc [G];Y_acc [G];Z_acc [G];HX_acc [G];Pressure [Pa];Kalman pressure [Pa];Temperature [C];Vaxis [m/s];AltitudeFromPressure [m];AltitudeFromAcc [m];State;VelocityPressure [m/s];ParachuteFailureSenseCnt
0;1,13024282560706;0,0706401766004415;-0,105960264900662;0,977099236641221;99593;99602;3,4;0;0;0;1;0;0;
0,01;1,09492273730684;0,0588668138337013;-0,105960264900662;0,977099236641221;99575;99601;3,4;0;0;0;1;0;0;
0,02;1,13024282560706;0,0235467255334805;-0,129506990434143;0,977099236641221;99596;99601;3,4;0;0;0;1;0;0;
0,03;1,0831493745401;0,0353200883002208;-0,117733627667403;0,977099236641221;99606;99601;3,7;0;0;0;1;0;0;
0,04;1,13024282560706;0,0824135393671818;-0,129506990434143;0,977099236641221;99596;99600;3,7;0;0;0;1;0;0;
0,05;1,1420161883738;0,0353200883002208;-0,129506990434143;0,977099236641221;99590;99600;3,7;0;0;0;1;0;0;
0,06;1,10669610007358;0,0353200883002208;-0,141280353200883;0,977099236641221;99604;99600;3,7;0;0;0;1;0;0;
0,07;1,10669610007358;0,0824135393671818;-0,117733627667403;0,977099236641221;99624;99601;3,7;0;0;0;1;0;0;
0,08;1,07137601177336;0,0117733627667403;-0,141280353200883;0,977099236641221;99598;99601;3,4;0;0;0;1;0;0;
0,09;1,11846946284032;0,0353200883002208;-0,129506990434143;0,977099236641221;99602;99601;3,4;0;0;0;1;0;0;
0,1;1,10669610007358;0,0588668138337013;-0,129506990434143;0,977099236641221;99593;99600;3,7;0;0;0;1;0;0;
0,11;1,11846946284032;0,0824135393671818;-0,129506990434143;0,977099236641221;99574;99599;3,4;0;0;0;1;0;0;
0,12;1,0831493745401;0,047093451066961;-0,129506990434143;0,977099236641221;99591;99598;3,7;0;0;0;1;0;0;
0,13;1,07137601177336;0,0353200883002208;-0,105960264900662;0,977099236641221;99607;99599;3,4;0;0;0;1;0;0;
0,14;1,0831493745401;0,0588668138337013;-0,141280353200883;0,977099236641221;99599;99598;3,7;0;0;0;1;0;0;
0,15;1,07137601177336;0,0706401766004415;-0,164827078734364;0,977099236641221;99595;99598;3,4;0;0;0;1;0;0;
0,16;1,10669610007358;0,0588668138337013;-0,153053715967623;0,977099236641221;99581;99597;3,4;0;0;0;1;0;0;
0,17;1,11846946284032;0,0588668138337013;-0,141280353200883;0,977099236641221;99602;99597;3,4;0;0;0;1;0;0;
0,18;1,09492273730684;0,047093451066961;-0,141280353200883;0,977099236641221;99588;99597;3,7;0;0;0;1;0;0;
